War	Fighting between nations to resolve issues between them.
Peace	An absence of conflict, which leads to happiness and harmony.
Justice	Bringing about what is right and fair, according to the law or making up for a wrong that has been committed.
Forgiveness	Showing grace and mercy and pardoning someone for what they have done wrong.
Reconciliation	A sacrament in the Catholic Church; also, when individuals or groups restore friendly relations after conflict or disagreement.
Protest	An expression of disapproval, often in a public group.
Violence	Using actions that threaten or harm others.
Terrorism	The unlawful use of violence, usually against innocent civilians, to achieve a political goal.
Greed	Selfish desire for something.
Self-defence	Acting to prevent harm to yourself or others.
Retaliation	Deliberately harming someone as a response to them harming you.
Nuclear weapons	Weapons that work by a nuclear reaction; they devastate huge areas and kill large numbers of people
Weapons of Mass Destruction 	Weapons that can kill large numbers of people and/or cause great damage.
Chemical weapons	Weapons that use chemical to poison, burn or paralyse humans and destroy the natural environment.
Biological weapons	Weapons that have living organisms or infective material that can lead to disease or death.
Just War	A war which meets internationally accepted criteria for fairness; follows traditional Christian rules for a just war, and is now accepted by all other religions. 
Jihad	The personal struggle of each Muslim against evil as they try to follow the way of Allah.
Lesser Jihad	The outward struggle to defend one’s faith, family and country from threat.
Holy War	Fighting for a religious cause or God, probably controlled by a religious leader.
Pacifism	The belief of people who refuse to take part in war and any other form of violence.
Peacemaker	A person who works to establish peace in the world or in a certain part of it.
Peacemaking	The action of trying to establish peace
Muslim	One who has submitted to the will of God and has accepted Islam.
Islam	The name of the religion followed by Muslims; to surrender to the will of God; peace.
Allah	The Arabic name for God.
Tawhid	The Oneness and unity of God.
Monotheistic	A religion that believes there is only one God.
Supremacy	Supreme power or authority; a quality of God.
Qur’an	The holy book revealed to the Prophet Muhammad PBUH by the angel Jibril; God’s final revelation to humankind.
Sunnah	The teachings and deeds of the Prophet Muhammad PBUH.
Sunni	Muslims who believe in the successorship to Muhammad of Abu-Bakr, Umar, Uthman and Ali.
Shi’a	Muslims who believe in the Imamate, the successorship of Ali.
Immanent	The idea that Allah is present in & involved with life on earth and in the universe; a quality of Allah. 
Transcendent	The idea that Allah is beyond and outside life on earth and the universe; a quality of Allah.
Omnipotent	Almighty, having unlimited power; a quality of Allah. 
Beneficent	Benevolent, all-loving, all-good; a quality of Allah.
Merciful	The quality of Allah that shows compassion or forgiveness to humans, even though he has the power to punish them.
Fairness	The idea that Allah treats people fairly and impartially without favour or discrimination.
Justice (Adalat in Shi’a Islam)	The idea that Allah is just and fair and judges human actions, rewarding the good and punishing the bad.
Angels	Spiritual beings believed to act as Messengers of God.
Day of Judgement	A time when the world will end and every soul will be judged by God, and either rewarded or punished.
Jibril	The Arabic name for Gabriel, the archangel who brought God’s message to the prophets, particularly to the Prophet Muhammad PBUH.
Mika’il	The Arabic name for Michael, the archangel of mercy who rewards good deeds and provides nourishment to people.
Predestination	The idea that God knows or determines everything that will happen in the universe.
Akhirah	Everlasting life after death.
Heaven	The state of eternal happiness in the presence of God; also called paradise.
Hell	The state of total separation from God.
Immortality	Endless life or existence after death.
Soul	The spiritual rather than physical part of humans.
Resurrection	Rising from the dead or returning to life (applied to souls after death).
Prophet	A person who proclaims the message of God.
Risalah	The belief that prophets are an important channel of communication between God and humans.
Prophethood	When God makes someone a prophet to communicate his message to people.
Iblis (Satan)	A spiritual being created from fire, who was thrown out of paradise for refusing to bow to Adam.
Kaaba	The black, cube-shaped building in the centre of the Grand Mosque in Makkah; the holiest place in Islam.
Id-ul-Adha	A Muslim festival that celebrates the prophet Ibrahim’s willingness to sacrifice his son for God.
Hajj	The annual pilgrimage to Makkah that every Muslim should try to make at least once in their life.
Caliph	A person considered to be a political and religious successor to the prophet Muhammad, and the leader of the Sunni Muslim community.
Imam	1. A person who leads communal prayer; 2. (Imam) in Shi’a Islam, the title given to Ali and his successors.
Imamate	The divine appointment of the Imams.
The Torah	The five books revealed by God to Moses.
Psalms	A holy book revealed by God to David.
Gospel	A holy book revealed by God to Jesus.
Scrolls of Abraham	A holy book revealed by God to Abraham.
Design Argument	The argument that God designed the universe, because everything is so intricately made in its detail that it could not have happened by chance.
Theist	A person who believes in God.
Atheist	A person who believes that there is no God.
Agnostic 	Someone who thinks there is not enough evidence for belief in God.
First Cause Argument	Also called the cosmological argument; the argument that there has to be an uncaused cause that made everything else happen, otherwise there would be nothing now.
Eternal	Without beginning or end.
Creation	The act by which God brought the universe into being.
Miracle	A seemingly impossible event, usually good, that cannot be explained by natural or scientific laws, and is thought to be the action of God.
Proof	Evidence that supports the truth of something,
Faith	A commitment to something that goes beyond proof and knowledge, especially used about God and religion.
Evil 	The opposite of good, a force or personification of a negative power that is seen in many traditions as destructive and against God.
Suffering	When people have to face and live with unpleasant events or conditions.
Ultimate reality	The supreme, final, fundamental power in all reality. 
The divine	God, gods or ultimate reality.
Revelation	God showing Himself to believers; this is the only any anybody can really know anything about God.
Special Revelation	God making Himself know through direct personal experience or an unusual specific event.
Vision 	Seeing something, especially in a dream or trance, that shows something about the nature of God or the afterlife. 
Enlightenment	The gaining of true knowledge about God or self, usually through meditation and self-discipline; in Buddhist traditions gaining freedom from the cycle of rebirth.
General revelation	God making himself known through ordinary, common human experiences
Nature	The physical world including plants, animals and landscapers; the environment or natural world.
Scriptures	The sacred writings of religion; for Christians these are the Old and New Testaments.
Omnipotent	Almighty, having unlimited power; a quality of God.
Omniscient	Knowing everything; a quality of God.
Benevolent	All-loving, all-good; a quality of God.
Immanent	The idea that God is present in and involved with life on earth and in the universe; a quality of God.
Transcendent	The idea that God is beyond and outside life on earth and the universe; a quality of God.
Personal	The idea that God is an individual or person with whom people are able to have a relationship or feel close to.
Impersonal	The idea that God has no ‘human’ characteristics is unknowable and mysterious, more like an idea or force.
Reality	The quality or state of being actual or true.
Illusion	An erroneous perception of reality. 
